Target-ID	Compound-ID	Std-value
CHEMBL279	CHEMBL520144	0.64
CHEMBL279	CHEMBL3297899	10.6
CHEMBL2363049	CHEMBL455208	30.0
CHEMBL3717	CHEMBL505896	10.0
CHEMBL2508	CHEMBL3702246	16.0
CHEMBL2147	CHEMBL3676271	1.0
CHEMBL1824	CHEMBL2048905	2.1
CHEMBL4722	CHEMBL572878	1.4
CHEMBL1844	CHEMBL3673484	11.0
CHEMBL5407	CHEMBL3393696	21.0
CHEMBL5407	CHEMBL3651980	7.0
CHEMBL2185	CHEMBL2012397	18.0
CHEMBL258	CHEMBL211852	10.0
CHEMBL2185	CHEMBL3675380	0.82
CHEMBL258	CHEMBL270306	18.0
CHEMBL2147	CHEMBL3691933	0.08
CHEMBL2148	CHEMBL3665204	0.1607
CHEMBL1844	CHEMBL3673437	4.0
CHEMBL5407	CHEMBL3687528	5.25
CHEMBL2148	CHEMBL3593778	1.7
CHEMBL2147	CHEMBL3809940	0.4
CHEMBL258	CHEMBL1082404	7.0
CHEMBL4247	CHEMBL3823549	0.22
CHEMBL3973	CHEMBL3980069	8.511
CHEMBL3629	CHEMBL3699280	0.28
CHEMBL4523	CHEMBL3971351	0.6
CHEMBL203	CHEMBL428741	4.1
CHEMBL3650	CHEMBL3919709	0.871
CHEMBL3553	CHEMBL4077508	14.0
CHEMBL1957	CHEMBL3823017	26.9
CHEMBL308	CHEMBL400569	3.0
CHEMBL203	CHEMBL2408045	12.0
CHEMBL1824	CHEMBL212250	28.0
CHEMBL3650	CHEMBL4073474	7.6
CHEMBL2147	CHEMBL3660033	2.0
CHEMBL1907601	CHEMBL4075720	3.33
CHEMBL3038477	CHEMBL3973509	10.0
CHEMBL4523	CHEMBL3687527	1.24
CHEMBL2971	CHEMBL2062805	3.0
CHEMBL2828	CHEMBL3950183	0.6
CHEMBL2147	CHEMBL3691944	0.05
CHEMBL1913	CHEMBL1276981	10.0
CHEMBL260	CHEMBL409914	28.0
CHEMBL2094126	CHEMBL357770	18.0
CHEMBL4040	CHEMBL3577636	23.0
CHEMBL1907601	CHEMBL3928814	27.0
CHEMBL4142	CHEMBL3908149	1.66
CHEMBL3529	CHEMBL3687132	8.0
CHEMBL1907605	CHEMBL2403095	8.0
CHEMBL203	CHEMBL512054	6.0
CHEMBL2147	CHEMBL3660031	3.0
CHEMBL2147	CHEMBL3890347	5.913
CHEMBL1824	CHEMBL483321	12.0
CHEMBL2363049	CHEMBL1923006	9.5
CHEMBL1907605	CHEMBL3716347	30.0
CHEMBL4439	CHEMBL2087983	7.43
CHEMBL2111414	CHEMBL2443044	10.0
CHEMBL3920	CHEMBL3928682	3.6
CHEMBL4630	CHEMBL271071	10.0
CHEMBL2148	CHEMBL3764277	4.6
CHEMBL2185	CHEMBL3685259	4.6
CHEMBL4282	CHEMBL3952378	4.9
CHEMBL4179	CHEMBL248176	25.0
CHEMBL2094126	CHEMBL359200	21.0
